symbol,ai_threshold,confidence_threshold,position_size,sl_multiplier,tp_multiplier,total_trades,win_rate,roi,sharpe_ratio,profit_factor,max_drawdown,final_balance
ETH/USDT,3,7,0.05,3.0,3.0,61,42.62295081967213,0.3018197808662649,0.4865956980449438,1.0753388600885632,-22.28012719105896,1003.0181978086626
ETH/USDT,2,7,0.05,3.0,3.0,61,42.62295081967213,0.3018197808662649,0.4865956980449438,1.0753388600885632,-22.28012719105896,1003.0181978086626
ETH/USDT,3,7,0.05,2.5,4.0,60,43.333333333333336,0.22168790329585591,0.3580150440593776,1.05643625204847,-20.54605486729029,1002.2168790329586
ETH/USDT,2,7,0.05,2.5,4.0,60,43.333333333333336,0.22168790329585591,0.3580150440593776,1.05643625204847,-20.54605486729029,1002.2168790329586
ETH/USDT,3,7,0.05,3.0,4.0,60,43.333333333333336,0.2207112975346149,0.35564500819098627,1.0561806891278196,-20.86310548751588,1002.2071129753461
ETH/USDT,2,7,0.05,3.0,4.0,60,43.333333333333336,0.2207112975346149,0.35564500819098627,1.0561806891278196,-20.86310548751588,1002.2071129753461
SOL/USDT,4,8,0.1,2.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,8,0.1,2.5,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,8,0.1,3.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,2,8,0.1,2.5,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,2,8,0.1,3.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,7,0.1,3.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,7,0.1,2.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,2,8,0.1,2.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,7,0.1,2.5,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,3,8,0.1,2.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,3,8,0.1,2.5,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,3,8,0.1,3.0,3.0,2,50.0,0.20764846476370163,5.581238038651333,2.977852931526597,0.0,1002.076484647637
SOL/USDT,4,8,0.05,2.0,3.0,2,50.0,0.10390637506859549,5.583457313969546,2.9794177507410895,0.0,1001.039063750686
SOL/USDT,4,8,0.05,2.5,3.0,2,50.0,0.10390637506859549,5.583457313969546,2.9794177507410895,0.0,1001.039063750686
SOL/USDT,2,8,0.05,2.5,3.0,2,50.0,0.10390637506859549,5.583457313969546,2.9794177507410895,0.0,1001.039063750686
SOL/USDT,4,8,0.05,3.0,3.0,2,50.0,0.10390637506859549,5.583457313969546,2.9794177507410895,0.0,1001.039063750686
